Region,Date,Average Price,Covid,Eat,War
London,2017-01-01,12.263214,,,
London,2017-02-01,12.740926,,,
London,2017-03-01,12.655614,,,
London,2017-04-01,12.635439,,,
London,2017-05-01,12.883276,,,
London,2017-06-01,12.891034,,,
London,2017-07-01,12.972931,,,
London,2017-08-01,12.706667,,,
London,2017-09-01,12.917759,,,
London,2017-10-01,13.001379,,,
London,2017-11-01,13.205689,,,
London,2017-12-01,13.232413,,,
London,2018-01-01,13.253965,,,
London,2018-02-01,12.847143,,,
London,2018-03-01,13.037547,,,
London,2018-04-01,13.005283,,,
London,2018-05-01,13.370189,,,
London,2018-06-01,13.307777,,,
London,2018-07-01,13.233818,,,
London,2018-08-01,13.212692,,,
London,2018-09-01,13.429804,,,
London,2018-10-01,13.427037,,,
London,2018-11-01,13.452075,,,
London,2018-12-01,13.300185,,,
London,2019-01-01,13.269643,,,
London,2019-02-01,13.318868,,,
London,2019-03-01,13.269444,,,
London,2019-04-01,13.160204,,,
London,2019-05-01,12.722884,,,
London,2019-06-01,12.83902,,,
London,2019-07-01,13.096792,,,
London,2019-08-01,13.301569,,,
London,2019-09-01,13.164561,,,
London,2019-10-01,13.173221,,,
London,2019-11-01,13.473272,,,
London,2019-12-01,13.299482,,,
London,2020-01-01,13.417407,,,
London,2020-02-01,13.541698,,,
London,2020-03-01,13.2109995,,,
London,2020-04-01,13.2109995,,,
London,2020-05-01,13.2109995,,,
London,2020-06-01,13.2109995,,,
London,2020-07-01,14.05075,,,
London,2020-08-01,11.604907,,,
London,2020-09-01,13.569604,,,
London,2020-10-01,13.590608,,,
London,2020-12-01,13.9188,,,
London,2021-05-01,14.422375,,,
London,2021-06-01,13.770367,,,
London,2021-07-01,14.11762,,,
London,2021-08-01,14.123771,,,
London,2021-09-01,14.018957,,,
London,2021-10-01,14.224082,,,
London,2021-11-01,14.1174,,,
London,2021-12-01,14.261837,,,
London,2022-01-01,13.9525,,,
London,2022-02-01,13.9025,,,
London,2022-03-01,14.328775,,,
London,2022-04-01,14.789412,,,
London,2022-05-01,14.771346,,,
London,2022-06-01,14.847059,,,
London,2022-07-01,15.0222,,,
London,2022-08-01,14.835,,,
London,2022-09-01,14.955098,,,
London,2022-10-01,14.953585,,,
London,2022-11-01,15.1075,,,
Rest of the UK,2017-01-01,12.652812,,,
Rest of the UK,2017-02-01,12.605212,,,
Rest of the UK,2017-03-01,12.630027,,,
Rest of the UK,2017-04-01,12.669128,,,
Rest of the UK,2017-05-01,12.738966,,,
Rest of the UK,2017-06-01,12.745724,,,
Rest of the UK,2017-07-01,12.786183,,,
Rest of the UK,2017-08-01,12.704572,,,
Rest of the UK,2017-09-01,12.748223,,,
Rest of the UK,2017-10-01,12.750101,,,
Rest of the UK,2017-11-01,12.766383,,,
Rest of the UK,2017-12-01,12.760036,,,
Rest of the UK,2018-01-01,12.742735,,,
Rest of the UK,2018-02-01,12.81555,,,
Rest of the UK,2018-03-01,12.71202,,,
Rest of the UK,2018-04-01,12.7052555,,,
Rest of the UK,2018-05-01,12.775415,,,
Rest of the UK,2018-06-01,12.727611,,,
Rest of the UK,2018-07-01,12.769647,,,
Rest of the UK,2018-08-01,12.854514,,,
Rest of the UK,2018-09-01,12.7452545,,,
Rest of the UK,2018-10-01,12.706134,,,
Rest of the UK,2018-11-01,12.757041,,,
Rest of the UK,2018-12-01,12.778822,,,
Rest of the UK,2019-01-01,12.744991,,,
Rest of the UK,2019-02-01,12.858355,,,
Rest of the UK,2019-03-01,12.846519,,,
Rest of the UK,2019-04-01,12.905929,,,
Rest of the UK,2019-05-01,12.916303,,,
Rest of the UK,2019-06-01,12.990537,,,
Rest of the UK,2019-07-01,13.039847,,,
Rest of the UK,2019-08-01,13.071603,,,
Rest of the UK,2019-09-01,13.062303,,,
Rest of the UK,2019-10-01,13.102459,,,
Rest of the UK,2019-11-01,13.13327,,,
Rest of the UK,2019-12-01,13.10846,,,
Rest of the UK,2020-01-01,13.08217,,,
Rest of the UK,2020-02-01,13.044088,,,
Rest of the UK,2020-03-01,13.01537,,,
Rest of the UK,2020-04-01,13.01537,,,
Rest of the UK,2020-05-01,13.01537,,,
Rest of the UK,2020-06-01,13.01537,,,
Rest of the UK,2020-07-01,13.043705,,,
Rest of the UK,2020-08-01,11.32359,,,
Rest of the UK,2020-09-01,12.71828,,,
Rest of the UK,2020-10-01,12.753678,,,
Rest of the UK,2020-12-01,12.924594,,,
Rest of the UK,2021-05-01,12.990504,,,
Rest of the UK,2021-06-01,12.9065895,,,
Rest of the UK,2021-07-01,13.085384,,,
Rest of the UK,2021-08-01,13.039032,,,
Rest of the UK,2021-09-01,12.9509,,,
Rest of the UK,2021-10-01,13.199537,,,
Rest of the UK,2021-11-01,13.189966,,,
Rest of the UK,2021-12-01,13.346634,,,
Rest of the UK,2022-01-01,13.39397,,,
Rest of the UK,2022-02-01,13.383447,,,
Rest of the UK,2022-03-01,13.329226,,,
Rest of the UK,2022-04-01,13.670169,,,
Rest of the UK,2022-05-01,13.948922,,,
Rest of the UK,2022-06-01,13.9927635,,,
Rest of the UK,2022-07-01,14.049122,,,
Rest of the UK,2022-08-01,14.15684,,,
Rest of the UK,2022-09-01,14.419121,,,
Rest of the UK,2022-10-01,14.468567,,,
Rest of the UK,2022-11-01,14.676924,,,
